SERIALNO,SPORDER,PUMA,STATE,PWGTP,HISP,RAC1P
2019GQ0055329,1,07510,6,2,1,9
2019GQ0056168,1,07507,6,15,1,1
2019GQ0056242,1,07508,6,25,1,6
2019GQ0056937,1,07510,6,37,1,6
2019GQ0056944,1,07510,6,25,1,2
2019GQ0057024,1,07508,6,3,1,1
2019GQ0057200,1,07512,6,5,1,6
2019GQ0058110,1,07513,6,16,1,1
2019GQ0058426,1,07510,6,7,1,1
2019GQ0058487,1,07513,6,18,11,1
2019GQ0058638,1,07508,6,17,1,6
2019GQ0059687,1,07511,6,5,1,6
2019GQ0059857,1,07508,6,21,1,6
2019GQ0059908,1,07514,6,8,1,1
2019GQ0060147,1,07510,6,14,1,1
2019GQ0060541,1,07511,6,2,24,2
2019GQ0060989,1,07514,6,3,2,8
2019GQ0061440,1,07513,6,18,1,1
2019GQ0061749,1,07511,6,1,1,2
2019GQ0061844,1,07508,6,20,1,6
2019GQ0062141,1,07510,6,3,2,8
2019GQ0062608,1,07511,6,10,1,1
2019GQ0063782,1,07510,6,26,1,2
2019GQ0063990,1,07508,6,4,1,6
2019GQ0064481,1,07513,6,19,2,2
2019GQ0064636,1,07508,6,2,24,1
2019GQ0064685,1,07509,6,1,1,1
2019GQ0065658,1,07508,6,5,1,2
2019GQ0065664,1,07512,6,1,1,6
2019GQ0066083,1,07510,6,27,2,1
2019GQ0066288,1,07512,6,5,1,6
2019GQ0068612,1,07510,6,7,1,6
2019GQ0069036,1,07510,6,10,1,2
2019GQ0069815,1,07514,6,1,1,1
2019GQ0070586,1,07514,6,2,1,6
2019GQ0070725,1,07514,6,33,1,2
2019GQ0071260,1,07514,6,8,1,1
2019GQ0072023,1,07514,6,3,2,8
2019GQ0073249,1,07510,6,1,1,1
2019GQ0073512,1,07512,6,1,1,6
2019GQ0074703,1,07511,6,2,2,8
2019GQ0074793,1,07512,6,8,1,6
2019GQ0075555,1,07507,6,1,1,2
2019GQ0076411,1,07514,6,23,1,1
2019GQ0076991,1,07514,6,14,1,9
2019GQ0077466,1,07509,6,50,19,8
2019GQ0078146,1,07513,6,26,23,9
2019GQ0078166,1,07514,6,19,1,1
2019GQ0078417,1,07514,6,1,1,1
2019GQ0078707,1,07513,6,39,1,1
2019GQ0078714,1,07508,6,7,3,8
2019GQ0078992,1,07512,6,14,1,1
2019GQ0079273,1,07508,6,4,14,8
2019GQ0079966,1,07510,6,32,1,1
2019GQ0079981,1,07508,6,16,2,1
2019GQ0080574,1,07512,6,12,1,6
2019GQ0080830,1,07511,6,20,1,1
2019GQ0082763,1,07510,6,27,1,1
2019GQ0083790,1,07510,6,17,1,6
2019GQ0084192,1,07513,6,2,1,6
2019GQ0084555,1,07510,6,3,1,1
2019GQ0084950,1,07511,6,51,1,1
2019GQ0085481,1,07509,6,19,1,1
2019GQ0086074,1,07510,6,2,2,9
2019GQ0086197,1,07511,6,1,1,1
2019GQ0086259,1,07511,6,33,1,2
2019GQ0086573,1,07512,6,22,1,6
2019GQ0086863,1,07512,6,3,1,1
2019GQ0086881,1,07508,6,2,1,1
2019GQ0086901,1,07511,6,9,1,6
2019GQ0087074,1,07514,6,23,19,6
2019GQ0087708,1,07509,6,28,1,1
2019GQ0088959,1,07513,6,4,1,6
2019GQ0090869,1,07509,6,4,2,2
2019GQ0090978,1,07514,6,2,1,1
2019GQ0091180,1,07507,6,16,1,1
2019GQ0091282,1,07512,6,9,1,6
2019GQ0091713,1,07512,6,3,1,6
2019GQ0091963,1,07512,6,1,1,1
2019GQ0092007,1,07511,6,33,24,9
2019GQ0092140,1,07509,6,19,1,6
2019GQ0093043,1,07509,6,21,1,9
2019GQ0093327,1,07509,6,2,1,6
2019GQ0093629,1,07508,6,13,1,1
2019GQ0093739,1,07508,6,6,1,1
2019GQ0093744,1,07511,6,36,2,9
2019GQ0093774,1,07513,6,18,1,9
2019GQ0093979,1,07512,6,8,1,1
2019GQ0094033,1,07510,6,13,11,8
2019GQ0094153,1,07513,6,3,1,1
2019GQ0094850,1,07514,6,25,1,1
2019GQ0095845,1,07514,6,12,1,6
2019GQ0096131,1,07514,6,22,1,2
2019GQ0096210,1,07510,6,2,1,6
2019GQ0096576,1,07514,6,2,1,2
2019GQ0096682,1,07511,6,3,1,9
2019GQ0096916,1,07514,6,9,1,6
2019GQ0098548,1,07510,6,18,1,1
2019GQ0099016,1,07510,6,4,2,2
2019GQ0099617,1,07513,6,31,2,1
2019GQ0099849,1,07510,6,14,2,2
2019GQ0100424,1,07509,6,2,2,1
2019GQ0100826,1,07510,6,10,1,1
2019GQ0100930,1,07513,6,16,2,8
2019GQ0101144,1,07511,6,2,1,1
2019GQ0101568,1,07508,6,4,14,8
2019GQ0102159,1,07510,6,22,1,6
2019GQ0102549,1,07513,6,19,11,8
2019GQ0103800,1,07509,6,2,2,1
2019GQ0103932,1,07508,6,2,1,2
2019GQ0104611,1,07510,6,8,1,1
2019GQ0105080,1,07514,6,11,1,2
2019GQ0105195,1,07511,6,1,1,1
2019GQ0105982,1,07512,6,5,1,1
2019GQ0106236,1,07510,6,4,1,1
2019GQ0107026,1,07513,6,16,1,2
2019GQ0107029,1,07510,6,28,1,2
2019GQ0107155,1,07513,6,20,1,1
2019GQ0107180,1,07511,6,21,1,1
2019GQ0107243,1,07508,6,4,24,9
2019GQ0108615,1,07512,6,1,1,6
2019GQ0108689,1,07509,6,30,1,1
2019GQ0110119,1,07513,6,2,1,1
2019GQ0110131,1,07508,6,5,1,1
2019GQ0110137,1,07510,6,6,1,6
2019GQ0110584,1,07507,6,1,11,1
2019GQ0111015,1,07508,6,2,2,3
2019GQ0111087,1,07513,6,19,1,6
2019GQ0111639,1,07510,6,4,1,1
2019GQ0111692,1,07513,6,2,9,9
2019GQ0113245,1,07507,6,23,1,6
2019GQ0113287,1,07512,6,6,1,2
2019GQ0113439,1,07511,6,33,3,8
2019GQ0114107,1,07512,6,1,1,6
2019GQ0114200,1,07508,6,4,1,6
2019GQ0114337,1,07508,6,21,3,2
2019GQ0114340,1,07510,6,15,1,6
2019GQ0114676,1,07510,6,3,1,2
2019GQ0114865,1,07513,6,4,1,1
2019GQ0115106,1,07509,6,13,8,1
2019GQ0115447,1,07514,6,5,1,2
2019GQ0115774,1,07512,6,14,1,6
2019GQ0115856,1,07508,6,28,1,6
2019GQ0116347,1,07514,6,12,1,9
2019GQ0116610,1,07511,6,40,1,2
2019GQ0116681,1,07508,6,3,1,6
2019GQ0116692,1,07511,6,4,14,8
2019GQ0116993,1,07513,6,17,1,1
2019GQ0117280,1,07512,6,3,1,6
2019GQ0117650,1,07514,6,4,1,6
2019GQ0118664,1,07511,6,9,1,1
2019GQ0118928,1,07509,6,10,1,6
2019GQ0119375,1,07507,6,15,1,1
2019GQ0119510,1,07508,6,13,1,6
2019GQ0119588,1,07510,6,9,1,1
2019GQ0120175,1,07513,6,19,1,1
2019GQ0120543,1,07514,6,11,1,1
2019GQ0121012,1,07513,6,18,3,8
2019GQ0121087,1,07512,6,8,1,1
2019GQ0121275,1,07507,6,21,1,2
2019GQ0121684,1,07512,6,6,1,6
2019GQ0121957,1,07510,6,3,1,2
2019GQ0122192,1,07508,6,9,1,2
2019GQ0122523,1,07511,6,28,1,9
2019GQ0122592,1,07513,6,1,1,1
2019GQ0123234,1,07509,6,34,1,1
2019GQ0123681,1,07512,6,2,1,6
2019GQ0124243,1,07511,6,8,1,2
2019GQ0124879,1,07509,6,19,1,1
2019GQ0125202,1,07512,6,23,1,1
2019GQ0125346,1,07511,6,37,1,1
2019GQ0125497,1,07508,6,14,1,1
2019GQ0126024,1,07512,6,18,1,6
2019GQ0126597,1,07510,6,12,1,6
2019GQ0127001,1,07514,6,12,1,6
2019GQ0127254,1,07514,6,2,1,1
2019GQ0127614,1,07512,6,17,2,1
2019GQ0128202,1,07512,6,9,2,1
2019GQ0128804,1,07509,6,13,1,1
2019GQ0128832,1,07510,6,12,1,2
2019GQ0130418,1,07513,6,2,11,8
2019GQ0132293,1,07514,6,14,1,9
2019GQ0132778,1,07512,6,2,1,1
2019GQ0133063,1,07507,6,1,1,6
2019GQ0133545,1,07507,6,1,1,1
2019GQ0133991,1,07514,6,3,1,1
2019GQ0135714,1,07507,6,2,1,1
2019GQ0136164,1,07512,6,4,1,6
2019GQ0136733,1,07514,6,5,1,1
2019GQ0137541,1,07514,6,22,1,2
2019GQ0138939,1,07514,6,5,1,1
2019GQ0139559,1,07510,6,14,2,2
2019GQ0140197,1,07508,6,14,1,1
2019GQ0140385,1,07513,6,16,2,8
2019GQ0140565,1,07511,6,1,2,1
2019GQ0141652,1,07514,6,9,1,1
2019GQ0141814,1,07514,6,17,1,6
2019GQ0142259,1,07509,6,8,1,6
2019GQ0142341,1,07509,6,1,1,1
2019GQ0142953,1,07514,6,34,1,2
2019GQ0143045,1,07509,6,2,1,2
2019GQ0143057,1,07513,6,27,1,6
2019GQ0143589,1,07511,6,22,1,6
2019GQ0143750,1,07514,6,6,1,1
2019GQ0144089,1,07511,6,30,1,1
2019GQ0144276,1,07512,6,2,1,6
2019GQ0144481,1,07507,6,14,1,2
2019GQ0144863,1,07508,6,12,1,2
2019GQ0144992,1,07509,6,2,1,2
2019GQ0145350,1,07509,6,1,1,2
2019GQ0145494,1,07508,6,21,1,6
2019GQ0146147,1,07510,6,22,1,1
2019GQ0146205,1,07514,6,32,1,1
2019GQ0146225,1,07513,6,4,1,6
2019GQ0147123,1,07513,6,5,1,1
2019GQ0148657,1,07513,6,34,1,6
2019GQ0148958,1,07511,6,3,1,1
2019GQ0149071,1,07513,6,20,1,6
2019GQ0149834,1,07509,6,14,1,2
2019GQ0150520,1,07508,6,14,2,1
2019GQ0150535,1,07507,6,27,1,1
2019GQ0150938,1,07514,6,2,1,6
2019GQ0151074,1,07513,6,5,1,2
2019GQ0151647,1,07511,6,3,1,1
2019GQ0151650,1,07509,6,19,1,1
2019GQ0151935,1,07507,6,4,1,1
2019HU0000337,1,07514,6,21,1,1
2019HU0000485,1,07511,6,11,1,1
2019HU0000485,2,07511,6,10,1,6
2019HU0000560,1,07508,6,3,1,9
2019HU0000862,1,07511,6,12,1,1
2019HU0000862,2,07511,6,13,1,1
2019HU0000927,1,07508,6,28,1,6
2019HU0000927,2,07508,6,23,1,6
2019HU0000927,3,07508,6,16,1,6
2019HU0001517,1,07514,6,19,1,6
2019HU0001810,1,07508,6,25,1,6
2019HU0001810,2,07508,6,38,1,6
2019HU0002543,1,07514,6,24,1,1
2019HU0002706,1,07510,6,75,1,6
2019HU0002706,2,07510,6,70,1,6
2019HU0002736,1,07511,6,12,4,1
2019HU0002736,2,07511,6,10,1,1
2019HU0002992,1,07507,6,11,1,6
2019HU0002992,2,07507,6,13,1,6
2019HU0002992,3,07507,6,15,1,6
2019HU0002992,4,07507,6,15,1,6
2019HU0002992,5,07507,6,15,1,6
2019HU0003086,1,07511,6,40,19,1
2019HU0003095,1,07511,6,12,1,1
2019HU0003095,2,07511,6,15,1,1
2019HU0003539,1,07513,6,24,1,6
2019HU0003539,2,07513,6,25,1,6
2019HU0003539,3,07513,6,36,1,6
2019HU0003539,4,07513,6,30,1,6
2019HU0003867,1,07512,6,10,1,1
2019HU0003867,2,07512,6,12,1,1
2019HU0004192,1,07511,6,59,1,1
2019HU0004192,2,07511,6,71,1,1
2019HU0004192,3,07511,6,79,1,1
2019HU0005125,1,07510,6,10,1,1
2019HU0005125,2,07510,6,10,1,1
2019HU0005639,1,07509,6,64,1,6
2019HU0005792,1,07514,6,12,1,6
2019HU0005792,2,07514,6,8,1,6
2019HU0006129,1,07509,6,15,5,1
2019HU0006182,1,07508,6,65,1,6
2019HU0006182,2,07508,6,76,1,6
2019HU0006355,1,07507,6,12,1,6
2019HU0006355,2,07507,6,11,1,6
2019HU0006355,3,07507,6,12,1,6
2019HU0006355,4,07507,6,12,1,6
2019HU0006629,1,07507,6,60,8,8
2019HU0006629,2,07507,6,92,2,8
2019HU0008215,1,07509,6,13,1,1
2019HU0008514,1,07511,6,26,1,1
2019HU0008514,2,07511,6,20,1,1
2019HU0008606,1,07512,6,15,1,1
2019HU0008647,1,07509,6,10,1,1
2019HU0008647,2,07509,6,9,1,1
2019HU0008798,1,07512,6,11,1,1
2019HU0008798,2,07512,6,11,1,1
2019HU0008906,1,07509,6,13,1,1
2019HU0008906,2,07509,6,19,1,1
2019HU0008946,1,07510,6,18,1,1
2019HU0009186,1,07513,6,12,1,9
2019HU0009186,2,07513,6,13,1,9
2019HU0009744,1,07513,6,18,1,6
2019HU0009744,2,07513,6,14,1,6
2019HU0009744,3,07513,6,18,1,6
2019HU0009744,4,07513,6,17,1,6
2019HU0009744,5,07513,6,17,1,6
2019HU0009744,6,07513,6,22,1,6
2019HU0009744,7,07513,6,21,1,6
2019HU0010094,1,07511,6,26,1,2
2019HU0010094,2,07511,6,35,2,8
2019HU0010094,3,07511,6,22,1,9
2019HU0010094,4,07511,6,43,2,8
2019HU0010796,1,07510,6,34,1,6
2019HU0010796,2,07510,6,33,1,6
2019HU0010796,3,07510,6,36,1,6
2019HU0011634,1,07514,6,22,1,1
2019HU0011634,2,07514,6,16,1,1
2019HU0013167,1,07510,6,125,1,2
2019HU0013867,1,07514,6,11,1,1
2019HU0013867,2,07514,6,9,1,6
2019HU0013867,3,07514,6,8,1,9
2019HU0013867,4,07514,6,9,1,6
2019HU0013867,5,07514,6,7,1,1
