NAME,total,total_moe,rb_30to34,rb_30to34_moe,rb_35to39,rb_35to39_moe,rb_40to49,rb_40to49_moe,rb_mt50,rb_mt50_moe,rent_burdened,rent_burdened_moe,severely_rent_burdened,severely_rent_burdened_moe,pct_rent_burdened,pct_rent_burdened_moe,pct_severely_rent_burdened,pct_severely_rent_burdened_moe
Fruitvale,7726,540,896,250,420,160,640,238,2368,397,4324,550,2368,397,0.560,0.059,0.306,0.047
"Oakland city, California",100947,1631,8968,735,5753,654,8440,813,26295,1334,49456,1846,26295,1334,0.490,0.016,0.260,0.013
